Nome do Cliente,Cargo do Cliente,Telefone do Cliente,E-mail do Cliente,CNPJ da Empresa,Razao Social da Empresa,Nome Fantasia da Empresa,Data de Abertura da Empresa,CEP,Sigla do Estado,Cidade,Bairro,Logradouro,Número,Região,Telefone da Empresa,E-mail da Empresa
Carlos Silva,Gerente de Vendas,(11) 98765-4321,carlos.silva@exemplo.com,12.345.678/0001-90,Silva Comercio e Representacoes LTDA,Silva Representacoes,10/02/2005,01001-000,SP,Sao Paulo,Centro,Avenida Paulista,1000,LESTE,(11) 4002-8922,contato@silvarepresentacoes.com
Mariana Costa,Analista de Marketing,(21) 99876-5432,mariana.costa@exemplo.com,98.765.432/0001-10,Costa Solucoes Digitais LTDA,Costa Digital,22/06/2012,20010-020,RJ,Rio de Janeiro,Copacabana,Rua Atlantica,250,SUL,(21) 3123-4567,contato@costadigital.com
Joao Pereira,Diretor Financeiro,(31) 98765-1234,joao.pereira@exemplo.com,11.223.344/0001-55,Pereira Investimentos SA,Pereira Invest,05/11/1998,30130-010,MG,Belo Horizonte,Savassi,Rua da Bahia,150,OESTE,(31) 3222-3344,financeiro@pereirainvest.com
Ana Souza,Coordenadora de RH,(41) 91234-5678,ana.souza@exemplo.com,22.334.455/0001-66,Souza Servicos Administrativos LTDA,Souza RH,18/04/2010,80020-310,PR,Curitiba,Batel,Rua XV de Novembro,500,NORTE,(41) 3344-5566,contato@souzarh.com
Fernando Lima,Supervisor de Producao,(51) 99888-7766,fernando.lima@exemplo.com,33.445.566/0001-77,Lima Industria e Comercio LTDA,Lima Comercios,30/09/2000,90040-000,RS,Porto Alegre,Moinhos de Vento,Avenida Ipiranga,2500,OESTE,(51) 4000-1234,contato@limacomercio.com
Juliana Ferreira,Analista de Sistemas,(85) 98765-4322,juliana.ferreira@exemplo.com,44.556.677/0001-88,Ferreira Tecnologia da Informacao LTDA,Ferreira TI,12/07/2015,60020-310,CE,Fortaleza,Aldeota,Avenida Beira Mar,800,NORTE,(85) 3333-2211,suporte@ferreirati.com
Ricardo Mendes,Gerente de Logistica,(71) 91234-5679,ricardo.mendes@exemplo.com,55.667.788/0001-99,Mendes Transportes e Logistica LTDA,Mendes Log,07/03/2008,40020-300,BA,Salvador,Barra,Avenida Oceanica,1200,LESTE,(71) 3222-4455,contato@mendeslog.com
Sabrina Alves,Consultora Comercial,(47) 98765-4323,sabrina.alves@exemplo.com,66.778.899/0001-00,Alves Consultoria Empresarial LTDA,Alves Consult,25/05/2018,89020-200,SC,Florianopolis,Centro,Rua XV de Novembro,350,SUL,(47) 4000-5678,contato@alvesconsult.com
Gabriel Santos,Coordenador de TI,(61) 91234-5680,gabriel.santos@exemplo.com,77.889.900/0001-11,Santos Solucoes Tecnologicas LTDA,Santos Tech,03/08/2013,70040-010,DF,Brasilia,Asa Sul,SQS 602,500,OESTE,(61) 3222-5566,suporte@santostech.com
Patricia Rocha,Diretora Comercial,(27) 98765-4324,patricia.rocha@exemplo.com,88.990.011/0001-22,Rocha Comercio e Servicos LTDA,Rocha Comercio,14/12/2007,29010-010,ES,Vitoria,Praia do Canto,Avenida Mauro Ramos,900,NORTE,(27) 3000-4455,contato@rochacomercio.com
